date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jan%202017%2015:28:34%20GMT	https://www.whitehouse.gov/the-press-office/2015/11/06/fact-sheet-obama-administration-announces-actions-ensure-nuclear-energy	/Users/zo/websites/doe/www.whitehouse.gov/the-press-office/2015/11/06/fact-sheet-obama-administration-announces-actions-ensure-nuclear-energy.2d.delayed	(from https://www.energy.gov/technologytransitions/gateway-accelerated-innovation-nuclear)
16:28:37	42425/42425	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:35%20GMT	https://www.energy.gov/technologytransitions/articles/our-shared-mission	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/our-shared-mission.html	(from https://www.energy.gov/technologytransitions/news)
16:28:40	48904/48904	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:37%20GMT	https://www.energy.gov/technologytransitions/articles/secretary-moniz-and-ceic-cop22-where-are-we-now-where-are-we-headed	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/secretary-moniz-and-ceic-cop22-where-are-we-now-where-are-we-headed.html	(from https://www.energy.gov/technologytransitions/news)
16:28:42	39018/39018	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:40%20GMT	https://www.energy.gov/technologytransitions/articles/ceic-heading-marrakesh-cop22	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/ceic-heading-marrakesh-cop22.html	(from https://www.energy.gov/technologytransitions/news)
16:28:46	60682/60682	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:43%20GMT	https://www.energy.gov/technologytransitions/articles/eight-questions-idaho-national-lab-director-doe-lab-corps-program	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/eight-questions-idaho-national-lab-director-doe-lab-corps-program.html	(from https://www.energy.gov/technologytransitions/news)
16:28:49	42681/42681	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:46%20GMT	https://www.energy.gov/technologytransitions/articles/sxsw-eco-small-businesses-play-key-role-developing-clean-energy	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/sxsw-eco-small-businesses-play-key-role-developing-clean-energy.html	(from https://www.energy.gov/technologytransitions/news)
16:28:52	38813/38813	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:49%20GMT	https://www.energy.gov/technologytransitions/articles/ceic-director-discusses-clean-energy-technology-rd-duke-university-s	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/ceic-director-discusses-clean-energy-technology-rd-duke-university-s.html	(from https://www.energy.gov/technologytransitions/news)
16:28:54	41497/41497	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:52%20GMT	https://www.energy.gov/technologytransitions/articles/clean-energy-inventions-and-achieving-scale-ceic-engages-future	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/clean-energy-inventions-and-achieving-scale-ceic-engages-future.html	(from https://www.energy.gov/technologytransitions/news)
16:28:58	41754/41754	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:54%20GMT	https://www.energy.gov/technologytransitions/articles/world-watching-and-innovating-ceic-returns-south-korea-discussion	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/world-watching-and-innovating-ceic-returns-south-korea-discussion.html	(from https://www.energy.gov/technologytransitions/news)
16:29:02	44243/44243	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:59%20GMT	https://www.energy.gov/technologytransitions/articles/it-s-all-about-innovation-and-investment-clean-energy-investment	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/it-s-all-about-innovation-and-investment-clean-energy-investment.html	(from https://www.energy.gov/technologytransitions/news)
16:29:05	67032/67032	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:02%20GMT	https://www.energy.gov/technologytransitions/listings/blog	/Users/zo/websites/doe/www.energy.gov/technologytransitions/listings/blog.html	(from https://www.energy.gov/technologytransitions/news)
16:29:08	40085/40085	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:06%20GMT	https://www.energy.gov/technologytransitions/articles/doe-laboratory-water-patents-high-potential-commercialization-private	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/doe-laboratory-water-patents-high-potential-commercialization-private.html	(from https://www.energy.gov/technologytransitions/news)
16:29:11	38235/38235	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:09%20GMT	https://www.energy.gov/technologytransitions/articles/aquaharmonics-wins-energy-department-s-wave-energy-prize-calwave	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/aquaharmonics-wins-energy-department-s-wave-energy-prize-calwave.html	(from https://www.energy.gov/technologytransitions/news)
16:29:14	51177/51177	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:12%20GMT	https://www.energy.gov/technologytransitions/articles/us-department-energy-projects-win-32-rd-100-awards-2016-rd-magazine	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/us-department-energy-projects-win-32-rd-100-awards-2016-rd-magazine.html	(from https://www.energy.gov/technologytransitions/news)
16:29:18	38037/38037	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:14%20GMT	https://www.energy.gov/technologytransitions/articles/idaho-national-laboratory-enhance-power-grid-testing-capabilities	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/idaho-national-laboratory-enhance-power-grid-testing-capabilities.html	(from https://www.energy.gov/technologytransitions/news)
16:29:20	41670/41670	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:18%20GMT	https://www.energy.gov/technologytransitions/articles/lawrence-livermore-developed-hydrogen-sensors-put-test-southern	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/lawrence-livermore-developed-hydrogen-sensors-put-test-southern.html	(from https://www.energy.gov/technologytransitions/news)
16:29:24	44878/44878	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:21%20GMT	https://www.energy.gov/technologytransitions/articles/doe-labs-road-tour-opens-doors-their-treasures	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/doe-labs-road-tour-opens-doors-their-treasures.html	(from https://www.energy.gov/technologytransitions/news)
16:29:27	38995/38995	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:24%20GMT	https://www.energy.gov/technologytransitions/articles/national-renewable-energy-laboratory-lead-new-consortium-develop	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/national-renewable-energy-laboratory-lead-new-consortium-develop.html	(from https://www.energy.gov/technologytransitions/news)
16:29:31	42608/42608	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:27%20GMT	https://www.energy.gov/technologytransitions/articles/integrated-imaging-institute-helps-innovators-envision-success	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/integrated-imaging-institute-helps-innovators-envision-success.html	(from https://www.energy.gov/technologytransitions/news)
16:29:34	55629/55629	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:29:31%20GMT	https://www.energy.gov/technologytransitions/articles/powered-life-self-charging-tag-tracks-fish-long-they-swim-long-living	/Users/zo/websites/doe/www.energy.gov/technologytransitions/articles/powered-life-self-charging-tag-tracks-fish-long-they-swim-long-living.html	(from https://www.energy.gov/technologytransitions/news)
